,phase,w,mag
0,-0.0062432717578017995,0.1,2.4405147268806964
1,-0.479646972563214,10.10990990990991,2.1638809460145305
2,-0.9378396627224423,20.11981981981982,1.6391400391946747
3,-1.1310726289300435,30.129729729729732,1.1694125446073362
4,-1.2264879910317321,40.13963963963964,0.8975292139119314
5,-1.2818552981607472,50.14954954954955,0.7244494970157983
6,-1.3164846196032178,60.15945945945946,0.6051889312585346
7,-1.3387630585531796,70.16936936936936,0.5180932120348606
8,-1.3528850528833802,80.17927927927927,0.45163833115942664
9,-1.3611246893309874,90.18918918918918,0.39917254652675316
10,-1.3647579981858728,100.19909909909909,0.3566025626272038
11,-1.3644827263825354,110.209009009009,0.3212776830746802
12,-1.36062240106797,120.21891891891892,0.2914096092735414
13,-1.353226284360052,130.22882882882882,0.2657518186473486
14,-1.3421129145014985,140.23873873873873,0.24341368907302036
15,-1.3268788857260894,150.24864864864864,0.22374903289786255
16,-1.3068833347768176,160.25855855855855,0.20628837997712685
17,-1.2812147494088257,170.26846846846846,0.19069902766913663
18,-1.2486488552002897,180.27837837837836,0.1767647301968984
19,-1.2076172899536297,190.28828828828827,0.164381488991982
20,-1.1562339314015426,200.29819819819818,0.1535686702500208
21,-1.0924802775136386,210.3081081081081,0.1444956071257404
22,-1.0147355616571077,220.318018018018,0.1375211856679157
23,-0.9228947093639117,230.3279279279279,0.13323381904854484
24,-0.8201346236053701,240.33783783783784,0.13245864586994696
25,-0.7146483692994872,250.34774774774775,0.1361772659076066
26,-0.6196700980859211,260.3576576576577,0.14531516170158526
27,-0.5505543526054983,270.36756756756756,0.16040688721966087
28,-0.5202457672874277,280.3774774774775,0.18117505928558122
29,-0.5357833679220494,290.3873873873874,0.20602643385053948
30,-0.5964980505958668,300.3972972972973,0.23163069554063329
31,-0.693316306437535,310.4072072072072,0.25327560616407374
32,-0.8103342432696754,320.41711711711713,0.26670105782505515
33,-0.9300396083434006,330.42702702702707,0.2703844951505406
34,-1.0394132675599475,340.43693693693695,0.26592731556948346
35,-1.132362699707237,350.4468468468469,0.25636045500922017
36,-1.2081715531710435,360.45675675675676,0.24441955168106647
37,-1.26881790770858,370.4666666666667,0.2319053129461434
